TICKER;LAST;CHG%;CHG;RATING;VOL;MKT CAP;P/E;EPS (TTM);EMPLOYEES;sector
EKUS;11.45;0.99%;0.11;Buy;1.068K;—;—;—;—;Miscellaneous
MCPHY;4.18;0.97%;0.04;Sell;64.940K;69.904M;—;-0.41;98.00;Producer Manufacturing
ETL;9.00;0.96%;0.09;Sell;465.227K;2.130B;6.27;1.42;1001.00;Consumer Services
SOP;95.15;0.90%;0.85;Sell;31.953K;1.983B;11.97;7.92;46245.00;Technology Services
ASP;2.28;0.88%;0.02;Sell;4.609K;30.296M;11.09;0.20;637.00;Consumer Durables
ALDAR;11.40;0.88%;0.10;Sell;101;78.339M;—;-4.17;—;Consumer Non-Durables
AURE;4.62;0.87%;0.04;Buy;1.250K;54.318M;—;—;551.00;Industrial Services
XPO;238.00;0.85%;2.00;Sell;1;2.330B;18.39;12.87;55436.00;Transportation
C2U;11.25;0.84%;0.09;Sell;20.834K;—;—;—;—;Miscellaneous
DBG;2.67;0.83%;0.02;Buy;190.340K;415.174M;7.60;0.35;36833.00;Transportation
ALTEV;98.40;0.82%;0.80;Buy;183;159.237M;—;—;—;Electronic Technology
ENGI;9.25;0.81%;0.07;Sell;11.575M;22.539B;25.18;0.41;170000.00;Utilities
TSYE;109.80;0.77%;0.83;Buy;21;—;—;—;—;Miscellaneous
ALANT;7.05;0.71%;0.05;Buy;1;29.032M;—;-0.38;177.00;Commercial Services
SIGHT;2.92;0.69%;0.02;Buy;151.639K;100.681M;—;-1.08;25.00;Health Technology
ALCUR;2.95;0.68%;0.02;Sell;468;—;—;—;—;Consumer Durables
ITP;30.95;0.65%;0.20;Sell;5.248K;1.453B;27.24;1.13;300.00;Consumer Non-Durables
USAG;105.52;0.63%;0.66;Buy;76;—;—;—;—;Miscellaneous
MERY;6.18;0.57%;0.04;Sell;112.980K;575.749M;6.25;0.98;111.00;Finance
AIR;49.88;0.56%;0.28;Sell;3.420M;40.114B;—;-2.39;134931.00;Electronic Technology
ALDUB;3.58;0.56%;0.02;Sell;25;10.761M;—;—;78.00;Process Industries
